INDEX,PARENT,GROUP,NAME,GATEWAY,ERV
1,0,1층,취업지원사무실4,1,1
1,0,1층,취업지원사무실3,1,2
1,0,1층,취업지원사무실2,1,3
1,0,1층,취업지원사무실1,1,4
1,0,1층,분임회의실1,1,5
1,0,1층,분임회의실2,1,6
1,0,1층,취업강의실1,1,7
1,0,1층,취업강의실2,1,8
1,0,1층,복도1,1,9
1,0,1층,복도2,1,10
1,0,1층,복도3,1,11
1,0,1층,복도4,1,12
1,0,1층,복도5,1,13
1,0,1층,복도6,1,14
1,0,1층,EV홀1,1,15
1,0,1층,남자화장실,1,16
1,0,1층,여자화장실,1,17
1,0,1층,사감실/행정실1,1,18
1,0,1층,사감실/행정실2,1,19
1,0,1층,EV홀2,1,20
1,0,1층,통신실,1,21
2,0,2층,예비실1,1,22
2,0,2층,예비실2,1,23
2,0,2층,예비실3,1,24
2,0,2층,예비실4,1,25
2,0,2층,라운지1,1,26
2,0,2층,라운지2,1,27
2,0,2층,휴게실라운지1,1,28
2,0,2층,휴게실라운지2,1,29
2,0,2층,남자화장실,1,30
2,0,2층,여자화장실,1,31
2,0,2층,물품보관실,1,32
2,0,2층,복도1,1,33
2,0,2층,복도2,1,34
2,0,2층,라운지덕트1,1,35
2,0,2층,라운지덕트2,1,36
2,0,2층,라운지덕트3,1,37
2,0,2층,복도3,1,38
2,0,2층,복도4,1,39
2,0,2층,복도5,1,40
2,0,2층,EV홀1,1,41
2,0,2층,EV홀2,1,42
2,0,2층,학생상담센터1,1,43
2,0,2층,학생상담센터2,1,44
2,0,2층,학생상담센터3,1,45
2,0,2층,학생상담센터4,1,46
2,0,2층,학생지원팀사무실,1,47
2,0,2층,학부동문회실1,1,48
2,0,2층,학부동문회실2,1,49
